MAIN_ROAD,CITY_DISTRICT,ADDRESS,BUILD_1ST_NUM,BUILD_2ND_NUM,COMPLEX_NAME,AREA,CONTRACT_YEAR_MONTH,CONTRACT_DAY,AMOUNT,FLOOR,CONSTRUCTION_YEAR,ROAD_NAME,TERMINATION_DATE,TRANSACTION_TYPE,BROKER_LOCATION,ROAD_NUM
곰달래로59길,7,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7
곰달래로5길,76,76,76,76,76,76,76,76,76,76,76,76,1,76,76,76
곰달래로60가길,3,3,3,3,3,3,3,3,3,3,3,3,1,3,3,3
곰달래로7길,43,43,43,43,43,43,43,43,43,43,43,43,2,43,43,43
공릉로,807,807,807,807,807,807,807,807,807,807,807,807,13,807,807,807
공릉로12길,6,6,6,6,6,6,6,6,6,6,6,6,0,6,6,6
공릉로13길,47,47,47,47,47,47,47,47,47,47,47,47,2,47,47,47
공릉로16길,3,3,3,3,3,3,3,3,3,3,3,3,0,3,3,3
공릉로18길,95,95,95,95,95,95,95,95,95,95,95,95,1,95,95,95
공릉로27길,60,60,60,60,60,60,60,60,60,60,60,60,1,60,60,60
공릉로2길,33,33,33,33,33,33,33,33,33,33,33,33,1,33,33,33
공릉로2나길,39,39,39,39,39,39,39,39,39,39,39,39,0,39,39,39
공릉로2라길,93,93,93,93,93,93,93,93,93,93,93,93,2,93,93,93
공릉로34길,674,674,674,674,674,674,674,674,674,674,674,674,15,674,674,674
공릉로39길,6,6,6,6,6,6,6,6,6,6,6,6,0,6,6,6
공릉로41가길,6,6,6,6,6,6,6,6,6,6,6,6,0,6,6,6
공릉로42길,34,34,34,34,34,34,34,34,34,34,34,34,0,34,34,34
공릉로46길,312,312,312,312,312,312,312,312,312,312,312,312,5,312,312,312
공릉로4길,6,6,6,6,6,6,6,6,6,6,6,6,0,6,6,6
공릉로51길,52,52,52,52,52,52,52,52,52,52,52,52,3,52,52,52
공릉로58길,80,80,80,80,80,80,80,80,80,80,80,80,1,80,80,80
공릉로59길,437,437,437,437,437,437,437,437,437,437,437,437,8,437,437,437
공원로,385,385,385,385,385,385,385,385,385,385,385,385,5,385,385,385
공원로6가길,106,106,106,106,106,106,106,106,106,106,106,106,3,106,106,106
공원로6길,65,65,65,65,65,65,65,65,65,65,65,65,3,65,65,65
공원로7길,29,29,29,29,29,29,29,29,29,29,29,29,0,29,29,29
공원로8길,16,16,16,16,16,16,16,16,16,16,16,16,1,16,16,16
공항대로,453,453,453,453,453,453,453,453,453,453,453,453,4,453,453,453
공항대로2길,15,15,15,15,15,15,15,15,15,15,15,15,0,15,15,15
공항대로36가길,14,14,14,14,14,14,14,14,14,14,14,14,0,14,14,14
공항대로36길,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4
공항대로39길,374,374,374,374,374,374,374,374,374,374,374,374,2,374,374,374
공항대로42길,61,61,61,61,61,61,61,61,61,61,61,61,1,61,61,61
공항대로43길,148,148,148,148,148,148,148,148,148,148,148,148,2,148,148,148
공항대로45길,127,127,127,127,127,127,127,127,127,127,127,127,0,127,127,127
공항대로46길,58,58,58,58,58,58,58,58,58,58,58,58,1,58,58,58
공항대로48길,30,30,30,30,30,30,30,30,30,30,30,30,0,30,30,30
공항대로4길,9,9,9,9,9,9,9,9,9,9,9,9,0,9,9,9
공항대로51길,4,4,4,4,4,4,4,4,4,4,4,4,0,4,4,4
공항대로53가길,14,14,14,14,14,14,14,14,14,14,14,14,0,14,14,14
공항대로55길,94,94,94,94,94,94,94,94,94,94,94,94,1,94,94,94
공항대로58다길,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5
공항대로59길,142,142,142,142,142,142,142,142,142,142,142,142,2,142,142,142
